観点1	観点2	番号	定義
課題思考	状況理解	1	取り巻く環境の変化を捉え、取り組むべき業務上の課題を明らかにしている
		2	担当業務のみならず、所属組織や関係組織の状況も的確に把握している
	課題抽出	3	問題を表面的ではなく、その背景や具体的な事実情報も踏まえて分析している
		4	重要度と緊急度を踏まえ、取り組むべき業務課題の優先順位をつけている
	企画発想	5	会社が持っている資源を有効に活用しながら担当業務の企画を立案している
		6	既存のやり方にとらわれずに、柔軟な発想で新たな企画を打ち出している
課題遂行	計画立案	7	上位方針や関連課題を踏まえて、担当業務に関する課題を自ら設定している
		8	業務の目標達成に向けて、効率と効果を踏まえた具体的な実行計画を立案している
	自律遂行	9	難度の高い課題に対しても、手際よく計画通りに遂行している
		10	困難に直面しても最後まで粘り強く業務を進めている
	確実改善	11	担当業務の課題を自らチェックしながら、計画通り確実に進めている
		12	担当業務の結果を振り返って反省し、今後の進め方を改善している
コミュニケーション	傾聴	13	相手の置かれた立場を踏まえ、気持ちや考えを受け止めている
		14	反対意見にも耳を傾け、途中で話をさえぎることなく最後まで聞いている
	意思表現	15	自分の考えを整理してわかりやすく伝えている
		16	相手の理解レベルを確認しながら、丁寧に話している
	関係構築	17	意見が対立しても逃げることなく、誠意を持って粘り強く話し合いを行っている
		18	社内関係者の理解と協力を得ながら、業務を円滑に進めている
組織貢献	同僚理解	19	同僚の業務状況や意識状態に気を配り、自ら進んで協力・支援している
		20	同僚の良いところをほめたり、成果や成功を共に喜んでいる
	助言指導	21	自らの専門性を活かしながら、同僚に納得感ある助言や指導を行っている
		22	同僚の業務状況に応じて、具体的な助言や指導を積極的に行っている
	役割協働	23	自らの仕事への真摯な取り組みを通じて、周囲に良い刺激や影響を与えている
		24	組織全体の課題に対して積極的に関与し、周囲と協働しながら解決に努めている
ベースマインド	責任感	25	当事者意識を強く持って、担当業務を推進している
		26	仕事の結果に対して言い訳することなく、進んで責任を取ろうとしている
	誠実さ	27	相手の属性・役職などに関わらず、裏表のない態度で誠実に接している
		28	法令や規律を遵守し、自分自身を律した良識ある行動をとっている
	前向きさ	29	失敗を恐れることなく、常に高いレベルの目標にチャレンジしている
		30	継続的に学習し、常に自らのレベルアップをはかっている
1. 評価対象者の強みを3つ以上記入してください。			
2. 評価対象者の課題・期待することを3つ以上記入してください。			
